material_id,formula,band_gap,elements,nelements,nsites,volume,density,formation_energy_per_atom,energy_above_hull,is_stable
mp-6748,Cs2Ti(Si2O5)3,3.5085,"['Cs', 'O', 'Si', 'Ti']",4,48,710.5671549202337,3.37536363121525,-3.1960443655268205,0.0,True
mp-1213715,Cs2Ti4O9,3.4437,"['Cs', 'O', 'Ti']",3,30,450.39593132266566,4.43360196986785,-3.231590101176247,0.0,True
mp-1178403,Cs2TiO3,3.3377071690926767,"['Cs', 'O', 'Ti']",3,12,238.19115494405503,5.042817822481488,-2.684312073773946,0.0,True
mp-1203715,Cs2TiP4O13,3.217,"['Cs', 'O', 'P', 'Ti']",4,40,632.742985096832,3.3883778448626143,-2.824654427310756,0.0,True
mp-1096946,Cs2VHO4,3.484726203605601,"['Cs', 'H', 'O', 'V']",4,16,318.416921068899,3.981722946270793,-2.073533491320044,0.0,True
mp-1226138,Cs2W(OF2)2,3.1768,"['Cs', 'F', 'O', 'W']",4,9,170.642500799889,5.426482320616733,-2.6884938999233734,0.0,True
mp-1193656,Cs2WO4,4.552187859522979,"['Cs', 'O', 'W']",3,28,656.5455945792307,5.196491547849522,-2.2529703502586247,0.0,True
mp-581114,Cs2YSi4O10F,4.8312,"['Cs', 'F', 'O', 'Si', 'Y']",5,144,2479.5048908792487,3.461314202414173,-3.30555432142002,0.0,True
mp-779814,Cs2ZnH12(SO7)2,5.6687,"['Cs', 'H', 'O', 'S', 'Zn']",5,62,713.0154727720801,2.941101530312117,-1.6280071544938812,0.0,True
mp-779742,Cs2ZnH12(SeO7)2,3.767,"['Cs', 'H', 'O', 'Se', 'Zn']",5,62,800.7080621715032,3.0080062015640263,-1.4259413965805752,0.0,True
mp-1214991,Cs2ZnSi5O12,4.2057,"['Cs', 'O', 'Si', 'Zn']",4,160,2695.8416295133843,3.2702232180155137,-2.998382463715518,0.0,True
mp-556129,Cs2Zr(IO3)6,3.4585,"['Cs', 'I', 'O', 'Zr']",4,27,507.9179154149271,4.598118390017099,-1.3684978555300138,0.0,True
mp-581877,Cs2Zr(Si2O5)3,4.946899999999999,"['Cs', 'O', 'Si', 'Zr']",4,72,1156.516348184159,3.297507883569495,-3.2491865215684856,0.0,True
mp-6694,Cs2Zr(SiO3)3,4.7915,"['Cs', 'O', 'Si', 'Zr']",4,30,486.0239639802208,3.999351257673836,-3.2222711842873566,0.0,True
mp-8759,Cs2ZrO3,3.8566,"['Cs', 'O', 'Zr']",3,12,261.4230653596361,5.145477826454064,-2.729279389051728,0.0,True
mp-561315,Cs3AlGe2O7,3.4472,"['Al', 'Cs', 'Ge', 'O']",4,26,513.1141465938762,4.420476457170864,-2.4052744303050395,0.0,True
mp-30300,Cs3As5O9,3.1425,"['As', 'Cs', 'O']",3,17,384.12241203097307,3.9655170250204512,-1.8080240271450312,0.0,True
mp-30119,Cs3AsO4,3.3566000000000003,"['As', 'Cs', 'O']",3,32,755.1826515228223,4.728735986082882,-2.0003329861206898,0.0,True
mp-1201201,Cs3B(SeO4)3,4.0913,"['B', 'Cs', 'O', 'Se']",4,76,1427.005342094501,3.902427476228088,-1.7193273505349171,0.0,True
mp-29505,Cs3BiO3,3.0476,"['Bi', 'Cs', 'O']",3,28,797.8426873403475,5.458755759801305,-1.6081179709236473,0.0,True
mp-1178422,Cs3GaO3,3.3622,"['Cs', 'Ga', 'O']",3,14,327.3673406397602,5.239158776324455,-1.78690693485222,0.0,True
mp-1194926,Cs3Gd(PO4)2,3.0813,"['Cs', 'Gd', 'O', 'P']",4,56,1127.3350494083925,4.394828917468734,-2.9376609213036597,0.0,True
mp-1226195,Cs3H(SeO4)2,3.4782,"['Cs', 'H', 'O', 'Se']",4,28,587.2208864077918,3.877693032239356,-1.6638032328502157,0.0,True
mp-1232408,Cs3In3(PO4)4,3.1055,"['Cs', 'In', 'O', 'P']",4,52,860.8896402628324,4.332443907797164,-2.541785004520652,0.0,True
mp-1214521,Cs3La(MoO4)3,3.7278,"['Cs', 'La', 'Mo', 'O']",4,76,1671.1729057239954,4.043842358286477,-2.4328331007350275,0.0,True
mp-1019615,Cs3Li4(BO2)7,4.5217,"['B', 'Cs', 'Li', 'O']",4,84,1163.0683533975548,3.110218003798992,-2.693396767611864,0.0,True
mp-562523,Cs3Mo2(O2F)3,3.9977,"['Cs', 'F', 'Mo', 'O']",4,28,580.8793553967532,4.2513367228071415,-2.430453841711824,0.0,True
mp-607931,Cs3NaLi2(BO3)2,3.454,"['B', 'Cs', 'Li', 'Na', 'O']",5,28,492.69241286499096,3.7289839418025754,-2.323294394667488,0.0,True
mp-573369,Cs3Nd(MoO4)3,3.7419,"['Cs', 'Mo', 'Nd', 'O']",4,76,1644.2718829861558,4.131558728645144,-2.4160753046823955,0.0,True
mp-572271,Cs3P7Pb2O21,4.9376,"['Cs', 'O', 'P', 'Pb']",4,66,1133.4996693516568,4.002054407773957,-2.5788909151959247,0.0,True
mp-559808,Cs3PO4,3.5723,"['Cs', 'O', 'P']",3,32,706.2691858233422,4.642919496090543,-2.465980221076048,0.0,True
mp-1214290,Cs3Pr(MoO4)3,3.7495,"['Cs', 'Mo', 'O', 'Pr']",4,76,1659.3580762687634,4.080649423098175,-2.4121752542438,0.0,True
mp-562072,Cs3SbO3,3.0838,"['Cs', 'O', 'Sb']",3,28,779.2543051906296,4.845525796336092,-1.7677098155665023,0.0,True
mp-1201472,Cs3SbO4,3.513,"['Cs', 'O', 'Sb']",3,32,818.6825578562423,4.741969052070562,-1.891426119245689,0.0,True
mp-562434,Cs3Ta5O14,3.7885,"['Cs', 'O', 'Ta']",3,88,1502.0970440557646,6.7542533816855865,-3.1742100753696447,0.0,True
mp-1019614,Cs3Y(PO4)2,4.4731000000000005,"['Cs', 'O', 'P', 'Y']",4,56,1117.5968310308488,4.0269371073971,-2.94913723755366,0.0,True
mp-560944,Cs4Ba(PO3)6,5.106400000000001,"['Ba', 'Cs', 'O', 'P']",4,58,1107.0233845294165,3.428349980945532,-2.780187510395788,0.0,True
mp-1198646,Cs4BaV6O18,3.0382,"['Ba', 'Cs', 'O', 'V']",4,58,1193.3506439406206,3.5137619687494217,-2.517293388745541,0.0,True
mp-1226269,Cs4Fe(MoO4)3,3.012605356017707,"['Cs', 'Fe', 'Mo', 'O']",4,40,875.8576819076438,4.046912009771662,-2.115080500931035,0.0,True
mp-562394,Cs4Li2(Si2O5)3,4.408,"['Cs', 'Li', 'O', 'Si']",4,108,1853.637546363483,3.418504852110656,-2.9463519568624945,0.0,True
mp-690929,Cs4MgZr3(PO4)6,3.773,"['Cs', 'Mg', 'O', 'P', 'Zr']",5,76,1141.526054034627,4.071397521788007,-3.0663016306967856,0.0,True
mp-555696,Cs4Nb2Si8O23,3.7002905917515134,"['Cs', 'Nb', 'O', 'Si']",4,37,589.9212565119569,3.687746672905424,-3.096816118205964,0.0,True
